Date,Product ID,Store ID,Stock Quantity,Reorder Needed
2023-08-27,P022,S014,55,No
2023-09-25,P043,S011,4,Yes
2023-06-21,P002,S037,61,No
2023-10-15,P062,S049,75,No
2023-09-26,P045,S025,51,No
2023-01-08,P098,S049,101,No
2023-09-04,P099,S023,85,No
2023-09-17,P099,S003,65,No
2023-12-02,P049,S048,92,No
2023-12-15,P090,S039,24,No
2023-09-23,P059,S041,64,No
2023-03-03,P029,S026,91,No
2023-06-22,P079,S023,116,No
2023-08-12,P046,S017,69,No
2023-01-05,P077,S026,73,No
2023-10-03,P098,S022,81,No
2023-12-22,P025,S001,136,No
2023-09-19,P006,S032,130,No
2023-05-29,P059,S016,7,Yes
2023-01-31,P074,S020,132,No
2023-04-10,P093,S001,60,No
2023-09-18,P056,S036,117,No
2023-01-02,P069,S034,142,No
2023-02-28,P048,S011,130,No
2023-07-25,P083,S017,78,No
2023-08-17,P006,S041,29,No
2023-01-03,P022,S005,70,No
2023-04-09,P069,S033,138,No
2023-08-24,P069,S005,56,No
2023-04-21,P092,S046,6,Yes
2023-01-02,P040,S019,85,No
2023-07-25,P034,S016,46,No
2023-07-30,P006,S029,36,No
2023-02-24,P038,S040,20,No
2023-05-08,P049,S029,113,No
2023-08-17,P076,S004,103,No
2023-11-02,P008,S026,42,No
2023-08-28,P024,S010,84,No
2023-07-08,P058,S026,55,No
2023-05-04,P099,S021,13,Yes
2023-11-18,P061,S022,16,Yes
2023-04-26,P084,S023,65,No
2023-03-07,P097,S038,133,No
2023-07-02,P002,S030,39,No
2023-09-29,P064,S007,127,No
2023-04-06,P006,S027,84,No
2023-05-20,P011,S027,46,No
2023-04-21,P016,S047,22,No
2023-06-16,P100,S044,50,No
2023-09-02,P081,S039,34,No
2023-12-10,P027,S008,116,No
2023-05-08,P097,S035,46,No
2023-09-13,P013,S021,14,Yes
2023-04-01,P081,S023,8,Yes
2023-04-02,P042,S035,30,No
2023-05-17,P038,S048,136,No
2023-09-26,P015,S039,19,Yes
2023-08-06,P047,S037,116,No
2023-10-17,P080,S001,42,No
2023-01-03,P021,S037,126,No
2023-04-20,P066,S027,141,No
2023-07-10,P026,S040,32,No
2023-05-29,P083,S015,74,No
2023-01-17,P045,S029,68,No
2023-12-08,P069,S032,134,No
2023-05-16,P021,S048,80,No
2023-01-17,P076,S027,138,No
2023-04-29,P093,S015,9,Yes
2023-10-05,P017,S016,33,No
2023-04-04,P082,S019,9,Yes
2023-02-08,P044,S038,149,No
2023-06-28,P010,S028,15,Yes
2023-08-21,P016,S017,14,Yes
2023-09-01,P009,S045,53,No
2023-02-11,P096,S016,108,No
2023-11-06,P072,S028,18,Yes
2023-11-11,P064,S009,83,No
2023-10-25,P025,S007,32,No
2023-12-06,P039,S019,42,No
2023-04-09,P034,S032,7,Yes
2023-10-06,P015,S041,146,No
2023-01-31,P002,S014,25,No
2023-05-08,P084,S041,112,No
2023-03-02,P053,S037,11,Yes
2023-04-02,P081,S034,40,No
2023-05-20,P100,S044,75,No
2023-07-14,P075,S011,124,No
2023-12-16,P068,S050,99,No
2023-12-10,P044,S039,64,No
2023-05-25,P002,S017,2,Yes
2023-02-20,P049,S048,90,No
2023-05-31,P082,S005,58,No
2023-03-06,P069,S033,106,No
2023-10-21,P025,S014,116,No
2023-11-25,P085,S042,117,No
2023-06-11,P022,S036,127,No
2023-11-03,P016,S028,110,No
2023-02-12,P088,S025,57,No
2023-12-14,P085,S043,115,No
2023-08-13,P060,S042,47,No
2023-07-27,P011,S030,49,No
2023-09-18,P090,S035,92,No
2023-09-14,P089,S045,135,No
2023-03-15,P062,S024,17,Yes
2023-01-09,P089,S045,103,No
2023-09-16,P087,S026,29,No
2023-03-12,P095,S017,66,No
2023-09-01,P028,S025,22,No
2023-08-27,P035,S029,57,No
2023-11-08,P028,S050,11,Yes
2023-04-22,P040,S014,37,No
2023-05-26,P072,S015,25,No
2023-02-20,P095,S049,136,No
2023-06-17,P092,S026,25,No
2023-06-12,P019,S024,42,No
2023-08-13,P038,S018,86,No
2023-01-12,P093,S018,32,No
2023-11-15,P057,S013,130,No
2023-09-11,P099,S010,40,No
2023-08-02,P064,S045,71,No
2023-10-03,P075,S039,41,No
2023-04-29,P093,S001,145,No
2023-09-25,P070,S048,61,No
2023-02-18,P080,S014,83,No
2023-02-02,P031,S011,72,No
2023-10-02,P096,S046,23,No
2023-06-23,P100,S045,56,No
2023-08-13,P001,S016,33,No
2023-04-02,P085,S023,17,Yes
2023-03-05,P071,S014,40,No
2023-04-03,P037,S009,22,No
2023-06-26,P090,S029,141,No
2023-01-04,P007,S011,94,No
2023-11-29,P092,S038,40,No
2023-07-06,P063,S020,134,No
2023-05-12,P083,S019,6,Yes
2023-01-15,P066,S002,37,No
2023-02-10,P044,S024,8,Yes
2023-02-10,P050,S004,42,No
2023-09-05,P032,S049,103,No
2023-11-06,P054,S041,146,No
2023-11-28,P094,S037,114,No
2023-04-07,P070,S038,125,No
2023-10-29,P024,S023,1,Yes
2023-09-08,P052,S006,38,No
2023-03-05,P090,S047,14,Yes
2023-04-04,P041,S014,0,Yes
2023-01-20,P043,S031,0,Yes
2023-10-21,P083,S008,115,No
2023-02-14,P040,S009,141,No
2023-10-07,P092,S028,86,No
2023-07-13,P091,S018,130,No
2023-04-04,P078,S045,150,No
2023-12-25,P013,S026,17,Yes
2023-07-17,P038,S033,24,No
2023-07-26,P088,S045,95,No
2023-06-21,P043,S011,15,Yes
2023-12-15,P060,S047,107,No
2023-12-27,P002,S003,70,No
2023-06-08,P021,S003,127,No
2023-06-30,P093,S011,52,No
2023-06-23,P099,S016,115,No
2023-03-21,P065,S007,101,No
2023-07-30,P095,S012,115,No
2023-04-11,P081,S016,118,No
2023-09-23,P026,S028,22,No
2023-03-20,P097,S012,120,No
2023-03-01,P064,S035,71,No
2023-12-06,P047,S044,31,No
2023-10-05,P029,S040,104,No
2023-03-24,P002,S010,25,No
2023-04-29,P079,S021,95,No
2023-06-11,P080,S046,70,No
2023-07-16,P038,S044,128,No
2023-09-27,P094,S027,121,No
2023-10-24,P060,S007,41,No
2023-03-23,P069,S034,148,No
2023-09-14,P007,S006,60,No
2023-03-22,P012,S035,85,No
2023-01-16,P051,S038,129,No
2023-10-02,P012,S034,49,No
2023-09-18,P015,S022,108,No
2023-04-05,P019,S009,134,No
2023-01-05,P006,S039,114,No
2023-03-10,P046,S001,146,No
2023-09-02,P024,S046,126,No
2023-08-28,P004,S043,60,No
2023-12-10,P098,S037,66,No
2023-08-13,P091,S001,87,No
2023-01-12,P007,S010,58,No
2023-04-09,P092,S004,129,No
2023-04-23,P079,S016,106,No
2023-09-03,P064,S041,61,No
2023-08-02,P018,S028,34,No
2023-02-11,P072,S019,142,No
2023-09-21,P094,S008,126,No
2023-03-29,P023,S003,126,No
2023-09-06,P017,S018,122,No
2023-11-13,P054,S048,145,No
