Date,Product ID,Store ID,Customer ID,Quantity,Unit Price,Discount,Revenue,Channel
2023-09-18,P069,S012,C0039,10,224.11,0.1,2016.99,Wholesale
2023-10-24,P038,S001,C0076,4,130.45,0.15,443.53,Wholesale
2023-06-11,P059,S049,C0048,2,334.07,0.1,601.33,Wholesale
2023-10-19,P002,S010,C0076,4,275.71,0.1,992.56,Wholesale
2023-09-27,P097,S045,C0009,4,140.42,0.0,561.68,Online
2023-10-08,P053,S012,C0086,3,438.7,0.0,1316.1,Online
2023-05-25,P061,S021,C0071,8,451.16,0.1,3248.35,Wholesale
2023-12-08,P100,S018,C0077,4,116.12,0.0,464.48,In-Store
2023-01-24,P048,S019,C0024,6,60.92,0.15,310.69,Wholesale
2023-08-09,P013,S032,C0096,5,229.86,0.0,1149.3,Wholesale
2023-04-08,P055,S040,C0029,5,214.16,0.0,1070.8,Wholesale
2023-03-01,P002,S022,C0076,2,336.8,0.05,639.92,Online
2023-11-01,P096,S038,C0098,3,156.51,0.0,469.53,In-Store
2023-01-19,P058,S037,C0098,5,140.75,0.1,633.38,Wholesale
2023-09-07,P040,S010,C0011,7,73.37,0.15,436.55,Wholesale
2023-11-10,P097,S040,C0058,5,328.05,0.1,1476.23,Wholesale
2023-01-01,P026,S012,C0098,4,387.77,0.1,1395.97,In-Store
2023-09-22,P056,S034,C0068,7,108.19,0.0,757.33,Online
2023-06-30,P099,S031,C0076,6,261.67,0.0,1570.02,Wholesale
2023-01-27,P094,S036,C0096,6,247.18,0.1,1334.77,Wholesale
2023-12-27,P061,S008,C0065,4,404.07,0.0,1616.28,Online
2023-10-21,P005,S004,C0086,4,57.86,0.0,231.44,Online
2023-04-03,P061,S021,C0092,5,100.21,0.1,450.94,Wholesale
2023-10-12,P004,S032,C0071,3,178.66,0.05,509.18,In-Store
2023-10-19,P076,S003,C0025,4,43.95,0.0,175.8,Wholesale
2023-07-27,P018,S014,C0076,4,133.4,0.1,480.24,Online
2023-06-05,P070,S022,C0067,3,215.82,0.0,647.46,Online
2023-03-06,P086,S021,C0082,2,463.01,0.1,833.42,Online
2023-12-06,P056,S040,C0018,4,163.59,0.15,556.21,Online
2023-05-26,P026,S050,C0007,6,82.04,0.0,492.24,Online
2023-08-28,P057,S043,C0080,6,369.85,0.15,1886.24,Wholesale
2023-02-15,P098,S014,C0054,5,435.44,0.15,1850.62,Wholesale
2023-05-06,P020,S027,C0012,4,107.45,0.0,429.8,Online
2023-08-01,P098,S006,C0051,3,108.52,0.15,276.73,Wholesale
2023-11-23,P053,S030,C0045,2,46.65,0.0,93.3,Online
2023-06-26,P009,S049,C0068,6,368.64,0.0,2211.84,In-Store
2023-07-15,P064,S007,C0034,5,275.29,0.1,1238.81,Wholesale
2023-11-25,P071,S030,C0031,6,234.68,0.0,1408.08,Wholesale
2023-09-12,P012,S049,C0015,4,212.99,0.0,851.96,Online
2023-07-03,P070,S041,C0053,2,174.34,0.0,348.68,Online
2023-07-25,P007,S046,C0091,5,39.66,0.15,168.55,In-Store
2023-09-15,P087,S027,C0035,9,386.72,0.0,3480.48,In-Store
2023-03-30,P043,S012,C0078,4,388.99,0.0,1555.96,Wholesale
