Inventory Date,ProductRef,StoreRef,QtyInStock,ReorderFlag
2023-07-21, p041 ,S043,56 units,no
"Sep 27, 2023", P075 ,S038,66 units,no
07/02/2023, p060 ,S016,58 units,no
"Aug 31, 2023", p044 ,S001,192 units,no
04/04/2023, P019 ,S017,54 units,no
2023-05-14, P086 ,S030,103 units,no
"Feb 21, 2023", P002 ,S028,151 units,no
2023-02-16, p043 ,S037,65 units,no
26/07/2023, p085 ,S030,104 units,no
23/04/2023, p050 ,S048,152 units,no
2023-05-29, p055 ,S049,159 units,no
"Dec 03, 2023", P067 ,S045,175 units,no
"Apr 06, 2023", P083 ,S008,117 units,no
2023-03-27, p022 ,S041,132 units,no
"Jan 09, 2023", p078 ,S038,86 units,no
2023-04-26, p044 ,S048,76 units,no
2023-09-27, P079 ,S021,107 units,no
2023-03-23, P033 ,S045,173 units,no
2023-06-30, P058 ,S042,199 units,no
"Nov 11, 2023", p085 ,S001,70 units,no
16/12/2023, p095 ,S028,167 units,no
"Dec 09, 2023", p074 ,S013,46 units,no
08/04/2023, P034 ,S030,153 units,no
27/09/2023, P086 ,S050,68 units,no
25/06/2023, P009 ,S027,159 units,no
"Aug 12, 2023", P023 ,S046,63 units,no
2023-09-03, p015 ,S036,67 units,no
"Aug 24, 2023", p006 ,S031,103 units,no
2023-07-19, p054 ,S046,105 units,no
2023-06-05, p004 ,S002,43 units,no
24/05/2023, P045 ,S024,143 units,no
"Sep 18, 2023", p095 ,S033,187 units,no
"Dec 22, 2023", P039 ,S050,15 units,yes
29/12/2023, P049 ,S007,118 units,no
02/10/2023, P030 ,S040,74 units,no
2023-06-22, P096 ,S049,5 units,yes
04/09/2023, p091 ,S009,44 units,no
2023-11-11, p060 ,S036,157 units,no
04/08/2023, p095 ,S041,82 units,no
28/01/2023, P099 ,S014,59 units,no
2023-08-07, P023 ,S006,116 units,no
28/09/2023, p006 ,S021,200 units,no
18/02/2023, P079 ,S020,114 units,no
"Jun 08, 2023", P068 ,S038,179 units,no
"May 05, 2023", P083 ,S033,21 units,yes
"Dec 16, 2023", p010 ,S020,110 units,no
2023-10-26, p087 ,S015,29 units,yes
2023-10-06, P069 ,S006,16 units,yes
01/12/2023, p004 ,S013,104 units,no
2023-01-18, P020 ,S017,102 units,no
2023-07-07, P033 ,S031,45 units,no
07/11/2023, p073 ,S038,138 units,no
