Transaction Date,Product Ref,StoreCode,Cust-ID,Qty,UnitPrice,DiscountRate,TotalRevenue,Channel Used
"Sep 17, 2023",p030,S045 ,C0090,4,406.37,15%,€1381.66,in-store
09/07/2023,p030,S017 ,C0044,5,287.62,15%,$1222.38,Wholesale
"Jan 04, 2023",p004,S049 ,C0065,6,274.98,15%,€1402.4,in-store
2023-11-27,p007,S037 ,C0069,4,432.16,15%,€1469.34,Wholesale
2023-05-27,p075,S048 ,C0063,2,175.87,0%,€351.74,online 
"Mar 10, 2023",p026,S035 ,C0096,6,150.72,0%,$904.32,web
2023-07-10,p076,S044 ,C0097,3,146.58,15%,€373.78,web
25/04/2023,p037,S017 ,C0023,5,389.46,10%,1752.57 USD,online 
04/11/2023,p053,S006 ,C0055,8,450.84,10%,$3246.05,online 
27/07/2023,p011,S011 ,C0093,1,167.37,10%,$150.63,online 
2023-09-22,p027,S047 ,C0037,4,427.14,15%,1452.28 USD,in-store
"Oct 16, 2023",p063,S021 ,C0010,3,495.7,0%,$1487.10,web
2023-09-12,p012,S048 ,C0087,3,409.88,5%,$1168.16,Wholesale
16/10/2023,p079,S019 ,C0002,5,338.58,15%,1438.96 USD,web
2023-08-19,p056,S049 ,C0008,1,392.2,0%,$392.20,web
"May 03, 2023",p020,S031 ,C0057,3,291.19,10%,$786.21,in-store
"Mar 02, 2023",p094,S026 ,C0011,4,197.38,0%,€789.52,Wholesale
2023-10-18,p016,S012 ,C0021,4,378.5,15%,€1286.9,web
"May 20, 2023",p092,S018 ,C0004,2,120.19,15%,€204.32,Wholesale
"Feb 23, 2023",p078,S024 ,C0078,7,439.82,15%,$2616.93,in-store
27/06/2023,p011,S019 ,C0079,3,125.69,10%,$339.36,online 
2023-12-05,p071,S005 ,C0046,3,114.54,5%,€326.44,in-store
"Oct 07, 2023",p023,S017 ,C0095,2,164.32,10%,€295.78,Wholesale
2023-04-22,p039,S044 ,C0073,8,480.2,15%,3265.36 USD,Wholesale
2023-09-12,p084,S037 ,C0088,3,67.5,15%,€172.12,in-store
2023-12-06,p014,S027 ,C0009,3,71.46,0%,$214.38,web
26/09/2023,p055,S009 ,C0092,1,219.28,0%,€219.28,Wholesale
19/12/2023,p061,S043 ,C0039,4,427.23,5%,1623.47 USD,online 
"Aug 20, 2023",p074,S009 ,C0052,4,46.89,15%,$159.43,Wholesale
2023-05-22,p065,S038 ,C0039,6,303.87,10%,1640.9 USD,online 
2023-09-27,p044,S041 ,C0092,3,179.28,10%,€484.06,web
01/07/2023,p036,S003 ,C0008,1,108.06,15%,$91.85,in-store
06/03/2023,p083,S015 ,C0052,6,382.91,5%,2182.59 USD,web
2023-08-14,p032,S046 ,C0066,6,297.7,10%,$1607.58,online 
"Mar 20, 2023",p077,S044 ,C0003,7,213.16,15%,€1268.3,online 
28/08/2023,p085,S035 ,C0062,4,185.8,5%,€706.04,web
2023-05-30,p012,S036 ,C0028,3,394.6,10%,1065.42 USD,web
"Mar 17, 2023",p084,S036 ,C0033,7,100.51,0%,€703.57,web
2023-05-07,p094,S018 ,C0011,1,144.63,15%,€122.94,Wholesale
"Jul 31, 2023",p012,S039 ,C0009,4,297.07,5%,$1128.87,in-store
2023-11-12,p025,S003 ,C0016,1,181.22,15%,154.04 USD,web
11/07/2023,p041,S028 ,C0031,8,205.61,10%,€1480.39,Wholesale
24/11/2023,p081,S037 ,C0086,6,329.76,10%,1780.7 USD,Wholesale
2023-03-03,p019,S019 ,C0057,8,380.35,5%,€2890.66,web
"Oct 19, 2023",p039,S004 ,C0035,3,76.04,0%,$228.12,online 
2023-10-08,p003,S031 ,C0085,8,188.78,15%,€1283.7,in-store
2023-03-10,p064,S022 ,C0075,2,330.5,15%,561.85 USD,web
2023-10-16,p064,S009 ,C0071,4,439.85,15%,1495.49 USD,online 
28/11/2023,p078,S001 ,C0002,2,320.21,10%,$576.38,Wholesale
2023-05-10,p040,S009 ,C0047,6,64.14,5%,365.6 USD,web
2023-04-30,p030,S004 ,C0004,3,336.77,10%,$909.28,online 
"Jun 10, 2023",p068,S004 ,C0082,1,406.68,5%,$386.35,online 
2023-06-16,p005,S029 ,C0062,2,130.49,15%,$221.83,web
13/09/2023,p095,S033 ,C0032,8,283.42,5%,$2153.99,web
"May 14, 2023",p027,S001 ,C0056,6,257.72,15%,$1314.37,in-store
"Apr 20, 2023",p034,S010 ,C0026,1,330.24,0%,330.24 USD,Wholesale
2023-09-19,p086,S005 ,C0005,2,438.73,0%,$877.46,in-store
"Sep 06, 2023",p087,S008 ,C0055,5,427.79,10%,€1925.06,web
2023-01-20,p009,S003 ,C0075,6,292.37,15%,1491.09 USD,online 
11/04/2023,p063,S008 ,C0094,3,380.63,10%,€1027.7,Wholesale
05/04/2023,p089,S028 ,C0048,8,85.63,5%,650.79 USD,in-store
2023-06-04,p064,S003 ,C0023,3,64.28,5%,€183.2,online 
"Sep 09, 2023",p038,S042 ,C0009,5,132.41,0%,$662.05,web
06/06/2023,p006,S001 ,C0001,8,334.19,15%,€2272.49,in-store
"Feb 25, 2023",p093,S042 ,C0021,3,246.33,15%,628.14 USD,online 
2023-09-18,p085,S047 ,C0075,3,191.53,0%,€574.59,web
06/01/2023,p088,S048 ,C0053,6,110.23,15%,562.17 USD,web
"Sep 01, 2023",p093,S011 ,C0086,5,482.53,0%,2412.65 USD,online 
"Sep 09, 2023",p025,S005 ,C0032,3,349.23,15%,$890.54,in-store
2023-06-23,p087,S037 ,C0030,7,206.95,0%,1448.65 USD,Wholesale
10/06/2023,p055,S003 ,C0041,5,179.6,0%,€898.0,online 
2023-06-19,p076,S047 ,C0068,8,352.44,10%,$2537.57,Wholesale
24/01/2023,p035,S048 ,C0094,6,445.73,0%,$2674.38,Wholesale
2023-10-27,p040,S012 ,C0069,1,499.54,15%,€424.61,Wholesale
"May 05, 2023",p076,S021 ,C0085,8,359.85,10%,$2590.92,web
2023-09-24,p059,S024 ,C0088,7,344.29,0%,€2410.03,web
"Jun 04, 2023",p051,S004 ,C0074,6,95.25,10%,514.35 USD,online 
"Sep 23, 2023",p021,S001 ,C0053,8,494.85,5%,3760.86 USD,Wholesale
2023-10-19,p051,S032 ,C0047,5,27.82,0%,€139.1,in-store
10/10/2023,p012,S029 ,C0059,3,394.44,5%,$1124.15,online 
